date,norad,alt
2026-07-02,52095,486.3
2026-07-03,52095,485.2
2026-07-02,52100,481.9
2026-07-03,52100,481.3
2026-07-02,52102,507.5
2026-07-03,52102,506.0
2026-07-02,52103,507.7
2026-07-03,52103,506.0
2026-07-03,52105,510.3
2026-07-03,52107,510.2
2026-07-03,52108,505.1
2026-07-03,52110,507.6
2026-07-03,52111,508.3
2026-07-02,52112,389.6
2026-07-03,52112,388.9
2026-07-02,52113,502.5
2026-07-03,52113,501.3
2026-07-03,52114,504.3
2026-07-02,52115,477.5
2026-07-03,52115,476.6
2026-07-02,52116,503.3
2026-07-03,52116,502.0
2026-07-03,52117,505.8
2026-07-02,52119,483.9
2026-07-03,52119,482.8
2026-07-02,52120,470.7
2026-07-03,52120,470.2
2026-07-02,52122,507.6
2026-07-03,52122,506.8
2026-07-02,52139,508.3
2026-07-03,52139,505.8
2026-07-02,52264,473.0
2026-07-03,52264,472.7
2026-07-02,52265,517.8
2026-07-03,52265,516.5
2026-07-02,52267,523.0
2026-07-03,52267,521.9
2026-07-02,52268,509.4
2026-07-03,52268,508.0
2026-07-02,52272,503.7
2026-07-03,52272,501.3
2026-07-02,52273,519.8
2026-07-03,52273,517.4
2026-07-02,52274,512.3
2026-07-03,52274,510.2
2026-07-02,52280,509.2
2026-07-03,52280,509.0
2026-07-02,52282,540.4
2026-07-03,52282,539.4
2026-07-02,52287,520.3
2026-07-03,52287,518.0
2026-07-02,52289,529.1
2026-07-03,52289,526.7
2026-07-02,52295,544.3
2026-07-03,52295,539.6
2026-07-02,52300,540.1
2026-07-03,52300,539.3
2026-07-02,52307,544.6
2026-07-03,52307,540.6
2026-07-02,52336,478.1
2026-07-03,52336,476.3
2026-07-02,52356,507.3
2026-07-03,52356,504.8
2026-07-02,52373,477.3
2026-07-03,52373,475.3
2026-07-02,52383,506.7
2026-07-03,52383,504.6
2026-07-02,52499,266.6
2026-07-03,52499,264.0
2026-07-02,52539,544.2
2026-07-03,52539,539.8
2026-07-02,52542,480.7
2026-07-03,52542,480.2
2026-07-02,52546,484.5
2026-07-03,52546,483.9
2026-07-02,52551,545.4
2026-07-03,52551,544.4
2026-07-02,52552,525.7
2026-07-03,52552,523.3
2026-07-02,52553,155.0
2026-07-02,52562,469.6
2026-07-03,52562,467.1
2026-07-02,52567,481.1
2026-07-03,52567,480.7
2026-07-02,52569,485.4
2026-07-03,52569,485.0
2026-07-02,52574,473.1
2026-07-03,52574,472.9
2026-07-02,52577,479.9
2026-07-03,52577,477.7
2026-07-02,52578,499.4
2026-07-03,52578,497.8
2026-07-02,52579,422.6
2026-07-03,52579,421.3
2026-07-03,52598,527.0
2026-07-02,52600,527.8
2026-07-03,52600,525.4
2026-07-02,52605,532.5
2026-07-03,52605,530.1
2026-07-03,52610,529.8
2026-07-02,52611,526.0
2026-07-03,52611,525.1
2026-07-02,52614,409.7
2026-07-03,52614,409.5
2026-07-02,52615,526.6
2026-07-03,52615,525.4
2026-07-02,52619,512.8
2026-07-03,52619,511.5
2026-07-02,52620,529.1
2026-07-03,52620,527.0
2026-07-02,52621,538.2
2026-07-03,52621,537.3
2026-07-03,52622,525.8
2026-07-02,52625,540.6
2026-07-03,52625,539.7
2026-07-03,52626,544.7
2026-07-03,52628,525.9
2026-07-02,52631,522.4
2026-07-03,52631,519.4
2026-07-02,52635,512.4
2026-07-03,52635,510.0
2026-07-02,52637,509.7
2026-07-03,52637,507.6
2026-07-02,52638,505.9
2026-07-03,52638,504.9
2026-07-02,52640,540.8
2026-07-03,52640,540.0
2026-07-02,52641,498.0
2026-07-03,52641,495.6
2026-07-02,52643,510.4
2026-07-03,52643,508.0
2026-07-02,52644,544.5
2026-07-03,52644,541.6
2026-07-02,52645,502.8
2026-07-03,52645,501.4
2026-07-03,52646,536.0
2026-07-02,52649,509.3
2026-07-03,52649,507.0
2026-07-02,52657,495.9
2026-07-03,52657,493.7
2026-07-02,52660,503.8
2026-07-03,52660,501.4
2026-07-02,52668,500.2
2026-07-03,52668,500.0
2026-07-02,52674,389.9
2026-07-03,52674,388.9
2026-07-02,52689,339.3
2026-07-03,52689,338.6
2026-07-02,52703,527.7
2026-07-03,52703,527.1
2026-07-02,52836,403.3
2026-07-03,52836,404.4
2026-07-02,52840,376.7
2026-07-03,52840,378.0
2026-07-02,52851,494.4
2026-07-03,52851,492.2
2026-07-02,52853,395.5
2026-07-03,52853,392.6
2026-07-03,52862,492.1
2026-07-02,52867,490.4
2026-07-03,52867,489.0
2026-07-02,52871,496.3
2026-07-03,52871,494.0
2026-07-02,52873,490.2
2026-07-03,52873,488.0
2026-07-02,52875,484.7
2026-07-03,52875,482.3
2026-07-02,52877,544.0
2026-07-03,52877,537.3
2026-07-02,52878,484.5
2026-07-03,52878,482.8
2026-07-02,52879,486.7
2026-07-03,52879,484.5
2026-07-02,52880,483.2
2026-07-03,52880,480.8
2026-07-02,52986,492.4
2026-07-03,52986,492.0
2026-07-02,52988,488.0
2026-07-03,52988,487.4
2026-07-02,52989,419.7
2026-07-03,52989,419.7
2026-07-02,52990,491.6
2026-07-03,52990,491.2
2026-07-02,52991,490.9
2026-07-03,52991,490.5
2026-07-02,52994,483.0
2026-07-03,52994,482.1
2026-07-02,52995,498.7
2026-07-03,52995,498.1
2026-07-02,52996,500.0
2026-07-03,52996,499.6
2026-07-02,52998,484.3
2026-07-03,52998,483.8
2026-07-02,52999,489.4
2026-07-03,52999,488.3
2026-07-02,53000,490.1
2026-07-03,53000,489.3
2026-07-02,53001,495.8
2026-07-03,53001,495.1
2026-07-02,53002,493.9
2026-07-03,53002,493.7
2026-07-02,53003,489.2
2026-07-03,53003,488.2
2026-07-02,53005,495.6
2026-07-03,53005,495.2
2026-07-02,53006,509.2
